Topic Title,Replies,Tags,Category,cleaned_title,cleaned_explanation
Jupiter Edge KYC Issues,"['Hello Hiii,As you all know few days back Bullet was renamed by Jupiter Edge. But the issue is with the vkyc after completing the vkyc agent told check it after 5 mins it will get reviewed in 5 mins and even i got the notification that Account is ready for the use but but but Is still showing that review page.I know you may get a huge response but half of the application is getting waitlisted and half of the application get the option to complete the kyc but you guyz are not verifying it I just don’t know what is wrong at your end. Few user application is verified and they are using it as well. but what about us who is waiting from the month of august? Almost 10 months.If someone is reading this post from Jupiter Edge team request you to kindly verify all the application or reject all applications if you can’t verify. I know the holiday is started and now We have to wait 1-2 weeks more.Signing off,Carolin', 'Hi Carolin, can you check if your KYC has been verified now? We had a bug that was preventing the final verification step but that seems to be fixed now. Please check and let me know.', 'Yess, i have checked and as well got the notification that Account is ready for use.But still its showing that we are reviewing the application.Please reslove it for me', 'Do you guys remember Jupiter edge? We miss that service!!', 'Me too miss Jupiter Edge. The product offering was fantastic but the released timing went wrong. Hope they can integrate it on the app in someway or can provide such credit limit on debit cards metting some eligibilty conditions (loan offerings on the app are actually another version of Jupiter Edge)', 'That’s why they are laughing CC']",[],Feedback & Ideas,jupiter edge kyc issues,hello hiiias know days back bullet renamed jupiter edge issue vkyc completing vkyc agent told check 5 mins get reviewed 5 mins even got notification account ready use still showing review pagei know may get huge response half application getting waitlisted half application get option complete kyc guyz verifying dont know wrong end user application verified using well us waiting month august almost 10 monthsif someone reading post jupiter edge team request kindly verify application reject applications cant verify know holiday started wait 12 weeks moresigning offcarolin hi carolin check kyc verified bug preventing final verification step seems fixed please check let know yess checked well got notification account ready usebut still showing reviewing applicationplease reslove guys remember jupiter edge miss service miss jupiter edge product offering fantastic released timing went wrong hope integrate app someway provide credit limit debit cards metting eligibilty conditions loan offerings app actually another version jupiter edge thats laughing cc
Not able to open the Jupiter Application,"['Hello community,I am not able to open the Jupiter Application . It keeps loading forever while at the starting page.  I tried updating the application, uninstalling and installing again no use, its stuck and  says  “verifying your mobile number”Earlier the Application did not open it was stuck and  loading  in the starting opening page now after re installing it’s in the same status of verifying your mobile number. Anyone else facing the same issue ? please suggest ideas and help .Thanks', 'Same issue', 'I’ve come here to see if it’s just me.I had received a notice saying that they were having a debit card problem and this may be a maintenance pause.', 'I had a word with the customer service executive and apparently they are working on this issue as well as the technical glitch on using the debit cards and was faced from yesterday. Hoping to get a solution at the earliest.', 'Helloo!Apologies for the inconvenience caused. We are experiencing a temporary hiccup with our app, and our team of experts are working to fix the issues as soon as possible!', 'Thank you for your response and clarification we appreciate the same and hope the glitches are resolved at the earliest. Thanks again', '@hereCan someone check again? It’s stabilised now!', 'Heyyy thank you.  I was about to update here.  My account is stable and I even tried making a transaction using debit card.  It works perfectly fine.  Thanks to the Jupiter team for the prompt action taken.', 'Works gud now', 'same issue facing 4daysany bug???maintenance work runningplease updation working on??']",[],Help,able open jupiter application,hello communityi able open jupiter application keeps loading forever starting page tried updating application uninstalling installing use stuck says verifying mobile numberearlier application open stuck loading starting opening page installing status verifying mobile number anyone else facing issue please suggest ideas help thanks issue ive come see mei received notice saying debit card problem may maintenance pause word customer service executive apparently working issue well technical glitch using debit cards faced yesterday hoping get solution earliest hellooapologies inconvenience caused experiencing temporary hiccup app team experts working fix issues soon possible thank response clarification appreciate hope glitches resolved earliest thanks someone check stabilised heyyy thank update account stable even tried making transaction using debit card works perfectly fine thanks jupiter team prompt action taken works gud issue facing 4daysany bugmaintenance work runningplease updation working
Investment Gold,"['Dear Jupiter Team,Please note that I sold all my gold on 22nd November 2023. But, Still now the amount  has not been credited to my Federal bank account.I am totally disappointed with this kind of service. A service request ticket has been raised. But, still no revert.Please fix it ASAP. else I will take the matter to Ombudsman’s forum.Thanks & RegardsSoumya Narayan Roy', 'Welcome to the community@Soumya_Narayan_RoyBy Federal bank account I hope you mean Jupiter account.Have you used the chat/help option on the app?I suggest you to be in touch with@Nikhil_Godbolesir with the service request reference number. Hope it gets resolved asap.', 'Thanks for the suggestion. done with the chat & call part. Let’s see', 'Hello Soumya!We apologise for this issue that you are facing. Can you please DM me the Ticket ID or your phone number for me to look into this issue on priority?', 'Hi, i am facing the same issue from the past 5 days. Kindly resolve the issue or I shall be taking this to the Ombudsman’s forum too.', 'Hello Manuel!We apologise for this inconvenience. Can you please DM me your phone number or a reference ticket ID? I will look into this issue on priority.', 'Ticket Number - 2732416']",[],Help,investment gold,dear jupiter teamplease note sold gold 22nd november 2023 still amount credited federal bank accounti totally disappointed kind service service request ticket raised still revertplease fix asap else take matter ombudsmans forumthanks regardssoumya narayan roy welcome community federal bank account hope mean jupiter accounthave used chathelp option appi suggest touch service request reference number hope gets resolved asap thanks suggestion done chat call part lets see hello soumyawe apologise issue facing please dm ticket id phone number look issue priority hi facing issue past 5 days kindly resolve issue shall taking ombudsmans forum hello manuelwe apologise inconvenience please dm phone number reference ticket id look issue priority ticket number 2732416
Gold invest,"['Send in an idea and make sure you include these components:The idea- of courseThe problem it solvesHow do you go about it solving right', 'Hello@Edalawelcome to jupiter communityI didn’t get the post. Are you talking about the unique ways people invest in gold?', 'Yup, this is WIP. We’re trying to push it for this quarter. Could happen on the next Qtr to be safe.', 'It is better to buy sovereign gold bonds.Benefits: 2-2.5% return + secure digital storage (no chance of theft or burglary)', 'Then it is entirely different customer preference.', 'Any idea on when we can add Jupiter debit card on gpay?@Shawnpinto', '@kirankiran10333No new updates on this part yet!']",[],Investments Club,gold invest,send idea make sure include componentsthe idea coursethe problem solveshow go solving right hello jupiter communityi didnt get post talking unique ways people invest gold yup wip trying push quarter could happen next qtr safe better buy sovereign gold bondsbenefits 225 return secure digital storage chance theft burglary entirely different customer preference idea add jupiter debit card gpay new updates part yet
(Completed) Lab test #8 - Digital Gold on Jupiter ✨,"['Hey folks!I’m Ankit Singh, part of the Investments team here at Jupiter.@Jupiterlabs, we have another lab test for you!We’ve been working behind the scenes to launch a previously promised and much-awaited feature - Buying Digital Gold on your Jupiter app (no more waiting for precious Jewels to become available). And now, we’re excited to give you guys early access to it!Why buy Digital Gold on Jupiter?24K, 99.99% pure gold from our partner MMTC-PAMP - the purest that money can buy!Lifetime free storage in secured vaults, to keep you worry-freeWhat’s more, buy in a flash for any amount from ₹1 to ₹1,00,000, 24/7Who can Invest?Currently, it is only live for users who have an FKYC account with Jupiter. We’re working to make this live for all users, very soon.How can you start?All the eligible users can start the journey via the Pots tab or via Gold on Jupiter on the Money tab.We need your help in understanding the following. We’re all ears for your feedback:Let us know what you like/don’t like about the product and experienceIf you’ve already been using other platforms/apps for buying Digital Gold, what is that one thing you liked on those platforms that you’d like to see on Jupiter in the future?And one final note that this is only the initial release, you guys will help us shape the final features.Tell us what you think in the comments below!Let’s get testing!Community-spotlight-07834×834 130 KB', 'bug?This image is being shown on the gold option in money tab:image271×609 30 KBBy clicking know more its shows:image271×609 62 KBI went to pots section and it works fine(Atleast all pages are being shown). Isnt there any minimum amount to buy? If someone orders gold for 1 Re . How is it going to work out ?image271×609 9.76 KBPower of 1 Reimage271×609 25.8 KB', '@Aswin_Benny, looking into this! Will report back', 'Tested buying it last day and it worked perfectly…  Nice feature.(Visited an online jwellery shop the same day, making charges were on the roof)Market with some awarness videos as well', 'yes sir, in the works!', 'Feels weird to be called “sir”call me aswin', '']",[],Jupiter labs,completed lab test 8 digital gold jupiter,hey folksim ankit singh part investments team jupiter another lab test youweve working behind scenes launch previously promised muchawaited feature buying digital gold jupiter app waiting precious jewels become available excited give guys early access itwhy buy digital gold jupiter24k 9999 pure gold partner mmtcpamp purest money buylifetime free storage secured vaults keep worryfreewhats buy flash amount 1 100000 247who investcurrently live users fkyc account jupiter working make live users soonhow startall eligible users start journey via pots tab via gold jupiter money tabwe need help understanding following ears feedbacklet us know likedont like product experienceif youve already using platformsapps buying digital gold one thing liked platforms youd like see jupiter futureand one final note initial release guys help us shape final featurestell us think comments belowlets get testingcommunityspotlight07834834 130 kb bugthis image shown gold option money tabimage271609 30 kbby clicking know showsimage271609 62 kbi went pots section works fineatleast pages shown isnt minimum amount buy someone orders gold 1 going work image271609 976 kbpower 1 reimage271609 258 kb looking report back tested buying last day worked perfectly nice featurevisited online jwellery shop day making charges roofmarket awarness videos well yes sir works feels weird called sircall aswin
Why selling price of jupiter gold is lower than what is being displayed as invested value?,"['It is understandable that we buy the digital gold with 3%gst. So there is variation in buying it. But why do the value decreases when we sell. For example if you buy 1G digi gold in jupiter for 6000 rupees with 3% gst (total u spent is 6180) the value invested is 6000rupees for 1 gram gold.Let’s say after 1 year now the app shows that ur invested value rouse up to 8000 but when you want sell. The value of ur investment will not be what they show (8000) rather it will be lower than that. Like 2-3% less.Why is it so? Could anyone explain why we are paying 2-3% again?? Why can’t we get the actual value displayed??In my case - my invested value is showing as 60, 363.28 (which i bought after paying 3% gst)  but if i want to sell it now, it only shows that i will receive 58,283.78 rupees.So, my question is where is the remaining 2079.50??? Looks like am loosing again some money… So what’s the use of jupiter digi gold purchase?? Looks like a gimmick to me.What makes digi gold better if we r stil loosing money. Iam thinking buying gold coins and saving at home looks more profitable…Any enlightenment is much appreciated…', 'image1686×418 47.8 KBimage775×129 9.42 KBIf am not wrong, you have to pay 3% GST and other charges/fees while selling Digital Gold also.Can find more details here:MMTC PAMPDigital Gold: Safer Way to Invest in 24K Pure Gold Online : MMTCPAMPBuy 24K Gold online Try the easiest and safest way to invest in gold with MMTC PAMP Buy, sell store the purest gold online with on demand deliverymint – 4 Sep 20Investing in digital gold? Know the risks and costs involvedThere are three companies offering digital gold in India: Augmont Gold; MMTC-PAMP India Pvt. Ltd, a joint venture between state-run MMTC Ltd and Swiss firm MKS PAMP; and Digital Gold India Pvt. Ltd with its SafeGold brand.', 'Jupiter or any digital gold app will show the current value of the gold you have based on buying price, which indicates if you were to buy equivalent amount of gold today then this is the price you would have to pay (GST excluded).The selling price and the value after the sales will differ because of spread.']",[],Feedback & Ideas,selling price jupiter gold lower displayed invested value,understandable buy digital gold 3gst variation buying value decreases sell example buy 1g digi gold jupiter 6000 rupees 3 gst total u spent 6180 value invested 6000rupees 1 gram goldlets say 1 year app shows ur invested value rouse 8000 want sell value ur investment show 8000 rather lower like 23 lesswhy could anyone explain paying 23 cant get actual value displayedin case invested value showing 60 36328 bought paying 3 gst want sell shows receive 5828378 rupeesso question remaining 207950 looks like loosing money whats use jupiter digi gold purchase looks like gimmick mewhat makes digi gold better r stil loosing money iam thinking buying gold coins saving home looks profitableany enlightenment much appreciated image1686418 478 kbimage775129 942 kbif wrong pay 3 gst chargesfees selling digital gold alsocan find details heremmtc pampdigital gold safer way invest 24k pure gold online mmtcpampbuy 24k gold online try easiest safest way invest gold mmtc pamp buy sell store purest gold online demand deliverymint 4 sep 20investing digital gold know risks costs involvedthere three companies offering digital gold india augmont gold mmtcpamp india pvt ltd joint venture staterun mmtc ltd swiss firm mks pamp digital gold india pvt ltd safegold brand jupiter digital gold app show current value gold based buying price indicates buy equivalent amount gold today price would pay gst excludedthe selling price value sales differ spread
"Gold,mutual funds,investments",['I want u to add an option to buy digital Gold and few mutual funds. If people invest from Jupiter they obviously  use Jupiter for long long time.'],[],Feedback & Ideas,goldmutual fundsinvestments,want u add option buy digital gold mutual funds people invest jupiter obviously use jupiter long long time
Money Stuck On Pot,"['Today (19/11/22) at 10:01 PM i created a super pot in jupiter , it showing processing from 15 mint and still on , even not showing in total net worth and amount is 50k so how many time it will take ? And if it is failed will my money came back into jupiter account?@ShawnpintoIMG-20221119-WA00011200×1600 101 KBIMG-20221119-WA00031200×1600 67.5 KBEven there is no option to delete pot', 'Same with me…One pot transaction is stuck in “processing” since yesterday as the systems were down.System is confused if the pot balance should be 36k or 46k.', 'Contact support team via email, my issue got solved already.Mail them with registered email id , hopefully it will be solved']",[],Help,money stuck pot,today 1001 pm created super pot jupiter showing processing 15 mint still even showing total net worth amount 50k many time take failed money came back jupiter account20221119wa000112001600 101 kbimg20221119wa000312001600 675 kbeven option delete pot meone pot transaction stuck processing since yesterday systems downsystem confused pot balance 36k 46k contact support team via email issue got solved alreadymail registered email id hopefully solved
"More than 10,000/- got stuck in the Pots for more than 15days now","['On feb 20th , while doing couple of transactions from pots almost about 10,000/- got stuck in my pot unable to withdraw the amount and now the pots sections shows zero amount. But the assets shows as 10,000/- remaining in the pot.Customer service just dragging the topic asking for pot account statement where in if I try to fetch it from federal bank certificate page it says I dont have access to fetch it.I instead I have provided the customer service my account statement with all the transactions to the pot and it also has all the transactions from the pot, and it shows a discrepancy of 10,000/- clearly.I really dont know what is up with this issue but I have seen lot many customers faced the same issue recently. This is a huge amount for me and Im in an emergengy. I have trusted jupiter and it’s more than 15 to 20 days now and no resolution is provided.I would like to escalate this issue and take it forward so that better and quick resolution is provided ASAP.', 'Hello Sreeja,We hear your concern. We regret the inconvenience caused. We are connecting with you via DM to assist you further.Thank you.']",[],Help,10000 got stuck pots 15days,feb 20th couple transactions pots almost 10000 got stuck pot unable withdraw amount pots sections shows zero amount assets shows 10000 remaining potcustomer service dragging topic asking pot account statement try fetch federal bank certificate page says dont access fetch iti instead provided customer service account statement transactions pot also transactions pot shows discrepancy 10000 clearlyi really dont know issue seen lot many customers faced issue recently huge amount im emergengy trusted jupiter 15 20 days resolution providedi would like escalate issue take forward better quick resolution provided asap hello sreejawe hear concern regret inconvenience caused connecting via dm assist furtherthank
Pot withdrawal issue,"['Hey guys i am new to this communityI am having issues with my pot withdrawls.I have tried multiple times withdrawing money from it but it’s showing withdrawal failed.My jupiter account is active and so is my pots account.Pleass help me to resolve this issue as i urgently need the money.', 'Hello Sanat, we understand that you’re experiencing issues while attempting to withdraw from your POTs account. We sincerely regret the inconvenience caused. We will reach out to you via DM to assist you further.', 'Even I faced the issue, ultimately was asked to furnish new KYC docs physically in the nearest Federal Bank branch and time taken for this process was 3 to 4 working days']",[],Help,pot withdrawal issue,hey guys new communityi issues pot withdrawlsi tried multiple times withdrawing money showing withdrawal failedmy jupiter account active pots accountpleass help resolve issue urgently need money hello sanat understand youre experiencing issues attempting withdraw pots account sincerely regret inconvenience caused reach via dm assist even faced issue ultimately asked furnish new kyc docs physically nearest federal bank branch time taken process 3 4 working days
Jupiter pots account,"['Recently I have got an international transaction but by mistake I have sent pots account number so i would like to ask whether my money is gone or it will come eventually', 'Hai@Dvirsh_MehtaWelcome to the communityIf I’m not wrong, provided the correct Savings Pot account number and IFSC code are given, the amount will be deposited into the ‘Savings Pot.’This is what happened when I tried a transfer via Gpay by entering Pots account number and IFSC code.Hope@Samarth_Tiwarican clarify', 'Will it take time to reflect into my account', 'It may take some time to reflect it in the account.Has the transaction completed? If so, at what time?You may also receive SMS and email notifications regarding POTS account credit.If its not reflecting, you can create a support ticket by mailing to support@jupiter.money', 'The person’s bank account has been deducted with the moneyI called customer care and they told me it will take 1 working day to reflect the transaction and I have given correct details also.', 'Ok. Then there is no issue. Then the amount may be credited by Monday, since tomorrow and day after are not working days', 'This is interesting. I didn’t know that you could do this. Great!I do understand that Pots is it’s own account but still I thought that it’s Jupiter internal use only.Thanks@razackfor sharing.']",[],Feedback & Ideas,jupiter pots account,recently got international transaction mistake sent pots account number would like ask whether money gone come eventually hai communityif im wrong provided correct savings pot account number ifsc code given amount deposited savings potthis happened tried transfer via gpay entering pots account number ifsc codehope clarify take time reflect account may take time reflect accounthas transaction completed timeyou may also receive sms email notifications regarding pots account creditif reflecting create support ticket mailing supportmoney persons bank account deducted moneyi called customer care told take 1 working day reflect transaction given correct details also ok issue amount may credited monday since tomorrow day working days interesting didnt know could greati understand pots account still thought jupiter internal use onlythanks sharing
Transaction missing the pot name,"['When I withdraw from pot. After few days when I try to understand abou the transaction, I see it as withdrawal from pot. But I don’t see from which pot it is. I miss the important info here. I’ll have to check few pots by opening (opening pot is very slow and it’s a different problem). This info is like open text box For every transaction. These days we got used to why a particular transaction has been made with a comment box while paying.', 'I really had not paid attention to this. Thank you Abhishek.', 'Thanks for the information brother. That’s almost an ester egg.Btw, is that Nokia LUMIA 925? Just curious to know.', 'Yeah, I was planning to buy one refurbished. But it isn’t available easily.', 'was this solution removed. I also dont see this search bar visible in current (i guess latest) appimage1492×1322 165 KB', '@minhajbro, regarding the search bar, it’s replaced with the search icon, you can see it on top right side of the home screen. Kindly check whether it’s available and you can search by typing \'transactions"" there', 'okay. But it is not showing older transaction. I can see only last 20 transaction']",[],Bug hunters,transaction missing pot name,withdraw pot days try understand abou transaction see withdrawal pot dont see pot miss important info ill check pots opening opening pot slow different problem info like open text box every transaction days got used particular transaction made comment box paying really paid attention thank abhishek thanks information brother thats almost ester eggbtw nokia lumia 925 curious know yeah planning buy one refurbished isnt available easily solution removed also dont see search bar visible current guess latest appimage14921322 165 kb regarding search bar replaced search icon see top right side home screen kindly check whether available search typing transactions okay showing older transaction see last 20 transaction
International Inward Remittance (USD),"['Hey Folks,Wondering if anyone has had any experience receiving USD into their Jupiter account ? I have an incoming transfer that was initiated on the 5th of June and it’s not in my account yet.  I have tried the customer care but they seems to only have superficial idea about it, they keep asking if the transfer is NEFT or not, and Ben after explaining that it’s an international transfer.If any one let me know how long it took them to receive the money ? And were the conversion rates atrocious ?']",[],General,international inward remittance usd,hey folkswondering anyone experience receiving usd jupiter account incoming transfer initiated 5th june account yet tried customer care seems superficial idea keep asking transfer neft ben explaining international transferif one let know long took receive money conversion rates atrocious
Receiving money from international bank,"['Why am I not able to receive money from international bank it is almost 1 week over frm the transfer has been confirmed, still not received', 'Heywelcome back to community. Any international transfer takes upto 2-5 working day maximum. If you not received by 1 week then create a ticket from support channel, they help you out.', 'It’s been more thn a week not yet received', 'Then create a ticket from support channel.', 'Nice to see you back@shakthi_kiranI suggest you to use the help section on the app for a quicker resolution.As suggested by@Surojit_Ghosh, please mail your issue tosupport@jupiter.moneyor call 08655055086 (available 9am - 9pm) for raising a support ticket.Hoping it gets solved asap.']",[],Help,receiving money international bank,able receive money international bank almost 1 week frm transfer confirmed still received heywelcome back community international transfer takes upto 25 working day maximum received 1 week create ticket support channel help thn week yet received create ticket support channel nice see back suggest use help section app quicker resolutionas suggested please mail issue tosupportmoneyor call 08655055086 available 9am 9pm raising support tickethoping gets solved asap
Receiving USD in Jupiter from a US client,"['Hi,I’ll be receiving some USD next month and the client can only do Bank Transfer.I’ve been thinking to receive in my Jupiter Account. I had usedwise.comearlier but this time it will be direct transfer.Now, my concern is about the exchange rate jupiter will offer and any taxes or charges it’ll apply while converting the USD to INR.Any help around this would be really appreciable.Also, what Bank Name, and Address should I provide to make it a smooth experience?', 'Anyone who can explain me this?', 'I am not a pro in this(I dont tranfer foreign currency or anything). But i have recieved usd via swift transfer and from my experience federal bank charges are bit heavy. Did the same with SBI again and has very less charge. (I havent used wise )', 'How much do they charge?I asked to the support chat on jupiter app and the support executive told me that there are no charges.', 'For around 100$:Jupiter -340RsSBI - 95RsCustomer care told me the same too. But how will there be such a difference?', 'Indeed, they make most of if by offering less exchange rate than actual.The information is purely based on experience and not mentioned anywhere right?Is there any upper cap for the charges?I’ll be getting nearly 2k usd and will die with 7k approc difference xD', '@Shawnpinto, I would like to have a transparency around this,.', 'I have no explanation how these charges are calculated', 'Hello@lazycipher, I work with the banking and payments team in Jupiter. As mentioned here in the thread by@Aswin_Benny(thank you), Federal bank charges a fixed fee of Rs. 350 + GST for inward foreign remittances. However, the exchange rate at which the conversion will happen can be negotiated with the bank. I request you to share the details (amount, expected date of transfer, purpose and any other additional details) of the transfer with either me or@Shawnpinto. We’ll take it up with the bank and get back to you on the expected total charges. Hope this helps!']",[],Help,receiving usd jupiter us client,hiill receiving usd next month client bank transferive thinking receive jupiter account usedwisecomearlier time direct transfernow concern exchange rate jupiter offer taxes charges itll apply converting usd inrany help around would really appreciablealso bank name address provide make smooth experience anyone explain pro thisi dont tranfer foreign currency anything recieved usd via swift transfer experience federal bank charges bit heavy sbi less charge havent used wise much chargei asked support chat jupiter app support executive told charges around 100jupiter 340rssbi 95rscustomer care told difference indeed make offering less exchange rate actualthe information purely based experience mentioned anywhere rightis upper cap chargesill getting nearly 2k usd die 7k approc difference xd would like transparency around explanation charges calculated hello work banking payments team jupiter mentioned thread bythank federal bank charges fixed fee rs 350 gst inward foreign remittances however exchange rate conversion happen negotiated bank request share details amount expected date transfer purpose additional details transfer either well take bank get back expected total charges hope helps
Jupiter international Transfer 🌐🌍💱,"['IMG_20230321_1810511920×3413 117 KBI request for early access for international Transfer, maybe my rank was 5k or something… Today when i tap the it’s showing me accept the t~c then showing me this page', 'Anybody have any idea about payment international Transfer feature ?', '@saniCould you kill the app and open it again?', 'I restart the app, but it’s showing me same page again', 'Maybe I’m not in the wishlist , but i registered myself for early access', 'Can you use this ?', 'Did they remove international transfer in the payments page?', '@Aswin_BennyGot the latest update today…Yes, couldn’t find international payments/transfers option anywhere.typed “International” and made a search via the search icon, got “Unable to find what you searched”', '@Aswin_Benny@razackStrange. Can you check if the icon is visible for you in the payments tab?It should be on the top bar (scroll to the right side)', 'I just checked, there is no international transfer option.', 'The option was there until app version 2.1.14, but just now I update the app to 2.2.1 and now it’s no longer visible.', 'Same here.', 'No…There are only 4 options/icons now on the top bar:Pay to UPI IDBank TransfersSelf TransferCheck Balance', 'Thanks for confirming folks, I’ve raised it with the payments team to see if anything is up for International transfers.', 'After this update, the option to filter tags in filter section vanished along with the international transfers feature@ShawnpintoYou people bring in a new feature, some existing features vanishes always. Don’t understand why this happens everytime.Never commented on jupiter team efficiency till now but I think you people should have a serious look into the team. These kind of issues spoil the user experience and leaves them frustated.I understand when you say that Jupiter is a new organisation and trying to build the app with community’s help in features and identifying bugs but it’s been already 4 years since Jupiter has been launched and it’s not new anymore.I might sound a bit harsh but this is what users will feel like when these kind of issues happen repeatedly. I have always given the credit where it’s due and also pointed out the issues where they are real.And yes, there’s also an issue with the transaction history again which is even more frustating.', '@specterthis shouldn’t have happened. We are looking into it and resolving it asap. Thanks for raising. We should have identified it in the first place.', 'Thanks@arp4nafor the response.I’m sure you people shall look into the issues when raised but they shouldn’t be happening so frequently.And when we have to raise the complaint, the CS team asks for screenshots which are not allowed in the app, so we have to click pics from other mobile and then follow it up.These kind of issues happen in the beta testing phase but not when the app is matured.And as user, every person would want to experience the app rather than finding bugs.Issues appearing often is not a very good sign and management to be very honest.Hope Jupiter focuses on these type of issues.And yes, I have uninstalled the Jupiter app from my phone after withdrawing all the funds today morning. Main reason behind this was discrepancy in the transaction history.Had to go to federal bank net banking and pull up a statement to find out the exact transactions happened.', 'Update on International transfers:We’re sorting a few things with our partners, hence the feature would not be available for the time being. There’s no ETA for its return.', 'Hey why you guys have removed international transfers?', 'Shawn Pinto:We’re sorting a few things with our partners@Devansh_BartwalThat is the issue', 'No reply text available']",[],Bug hunters,jupiter international transfer,img2023032118105119203413 117 kbi request early access international transfer maybe rank 5k something today tap showing accept tc showing page anybody idea payment international transfer feature kill app open restart app showing page maybe im wishlist registered early access use remove international transfer payments page latest update todayyes couldnt find international paymentstransfers option anywheretyped international made search via search icon got unable find searched check icon visible payments tabit top bar scroll right side checked international transfer option option app version 2114 update app 221 longer visible nothere 4 optionsicons top barpay upi idbank transfersself transfercheck balance thanks confirming folks ive raised payments team see anything international transfers update option filter tags filter section vanished along international transfers feature people bring new feature existing features vanishes always dont understand happens everytimenever commented jupiter team efficiency till think people serious look team kind issues spoil user experience leaves frustatedi understand say jupiter new organisation trying build app communitys help features identifying bugs already 4 years since jupiter launched new anymorei might sound bit harsh users feel like kind issues happen repeatedly always given credit due also pointed issues realand yes theres also issue transaction history even frustating shouldnt happened looking resolving asap thanks raising identified first place thanks responseim sure people shall look issues raised shouldnt happening frequentlyand raise complaint cs team asks screenshots allowed app click pics mobile follow upthese kind issues happen beta testing phase app maturedand user every person would want experience app rather finding bugsissues appearing often good sign management honesthope jupiter focuses type issuesand yes uninstalled jupiter app phone withdrawing funds today morning main reason behind discrepancy transaction historyhad go federal bank net banking pull statement find exact transactions happened update international transferswere sorting things partners hence feature would available time theres eta return hey guys removed international transfers shawn pintowere sorting things partners issue reply text available
Can I receive money from international bank account on Jupiter,"['Can I receive money from international bank account and what is the banking name? For Jupiter', 'Banking Partner :The Federal Bank Limited', '@CarolinMercesDoes bank names really matter that much in an international transfer?', 'IDK! I just gave the name of the bank to him!!Once I received a payment from Amazon Hongkong of ₹50 federal has not debited any kind of charges I even don’t know whether this Tnx comes under international or not.That time there was no Jupiter or neo bank.', 'You also need Swift code']",[],General,receive money international bank account jupiter,receive money international bank account banking name jupiter banking partner federal bank limited bank names really matter much international transfer idk gave name bank himonce received payment amazon hongkong 50 federal debited kind charges even dont know whether tnx comes international notthat time jupiter neo bank also need swift code
Branch contact,"['Hi,Is there any physical office for Jupiter?As the account facility is provide by federal bank,can we visit any Federal bank branch for getting served?', 'Yes you can visit any federal bankbranch, for your Jupiter account issue.', 'Hai@Prince_PSCould you provide more details about the service you require?', 'Hello Prince,Thank you for reaching out. For your concerns related to branch visits, you can connect with our support team for more assistance and details on services. We’re here to assist you via phone (8655055086), chat and email (support@jupiter.money). We would like to add that, our support team works from 9 am to 7 pm from Monday to Friday and is ready to assist you.']",[],General,branch contact,hiis physical office jupiteras account facility provide federal bankcan visit federal bank branch getting served yes visit federal bankbranch jupiter account issue hai provide details service require hello princethank reaching concerns related branch visits connect support team assistance details services assist via phone 8655055086 chat email supportmoney would like add support team works 9 7 pm monday friday ready assist
How do you get a statement with bank seal for Visa purposes?,"['Schengen visa requires us to provide bank statements with seal & sign from the bank.Since Jupiter doesn’t have a physical place where we can go and ask for the statement, is there any way to get it?', 'You can try support on the app and there is a physical branch in Bangalore, you can try there as well.Note: I am not sure if Jupiter gives stamped statements since it’s not a bank but you can also try going to a Federal Bank branch as well and ask them there.', 'Check with the in-app support. The Jupiter fees and charges page do suggest a local Federal bank walk-in is possible to get a statement, probably with a seal?Personal Finance, FinTech Updates from Jupiter – 1 Jun 21Jupiter Fee, Rates and Charges | JupiterJupiter as a digital first bank ensures that the charges structure is fair and there are no hidden fees. You can find the detailed fee structure by visiting this page.']",[],Feedback & Ideas,get statement bank seal visa purposes,schengen visa requires us provide bank statements seal sign banksince jupiter doesnt physical place go ask statement way get try support app physical branch bangalore try wellnote sure jupiter gives stamped statements since bank also try going federal bank branch well ask check inapp support jupiter fees charges page suggest local federal bank walkin possible get statement probably sealpersonal finance fintech updates jupiter 1 jun 21jupiter fee rates charges jupiterjupiter digital first bank ensures charges structure fair hidden fees find detailed fee structure visiting page
Federal Bank,"['Just Wanted to ask will I be acknowledged as a Federal Bank account holder with a jupiter accountI am asking this as there are lot of federal Bank braches and Can i go to nearest branch for something like Cash DepositWill they accept it?@Shawnpinto', 'What I understood from the community and through Google search is that, it appears that Fi offers this feature, but have not yet received confirmation regarding Jupiter. You can find similar queries regarding cash deposits, in this community. Hope we can get a clarification this time.But, at the same time, this is what I get from the Jupiter Terms and Conditions:image1291×202 21.3 KB', '@Bilalcash deposit at a federal bank branch is a mystery as of now. Until an official announcement comes out, the only way to find that out is to visit the branch and experience their approach first hand.', 'Will Try my Luck some day.', 'Please share the outcome if you visited the branch.']",[],General,federal bank,wanted ask acknowledged federal bank account holder jupiter accounti asking lot federal bank braches go nearest branch something like cash depositwill accept understood community google search appears fi offers feature yet received confirmation regarding jupiter find similar queries regarding cash deposits community hope get clarification timebut time get jupiter terms conditionsimage1291202 213 kb deposit federal bank branch mystery official announcement comes way find visit branch experience approach first hand try luck day please share outcome visited branch
